Temporada,Jornada,Equipo_Casa,Resultados,Equipo_Visitante
Temporada_2021_22,Jornada_01,Osasuna,2-1,Sevilla
Temporada_2021_22,Jornada_01,Celta,2-2,Espanyol
Temporada_2021_22,Jornada_01,Valladolid,0-3,Villarreal
Temporada_2021_22,Jornada_01,Barcelona,0-0,Rayo
Temporada_2021_22,Jornada_01,Cádiz,0-1,R. Sociedad
Temporada_2021_22,Jornada_01,Valencia,1-0,Girona
Temporada_2021_22,Jornada_01,Almería,1-2,Real Madrid
Temporada_2021_22,Jornada_01,Athletic,0-0,Mallorca
Temporada_2021_22,Jornada_01,Getafe,0-3,Atlético
Temporada_2021_22,Jornada_01,Betis,3-0,Elche
Temporada_2021_22,Jornada_02,Espanyol,0-2,Rayo
Temporada_2021_22,Jornada_02,Sevilla,1-1,Valladolid
Temporada_2021_22,Jornada_02,Osasuna,2-0,Cádiz
Temporada_2021_22,Jornada_02,Mallorca,1-2,Betis
Temporada_2021_22,Jornada_02,Celta,1-4,Real Madrid
Temporada_2021_22,Jornada_02,Athletic,1-0,Valencia
Temporada_2021_22,Jornada_02,Atlético,0-2,Villarreal
Temporada_2021_22,Jornada_02,R. Sociedad,1-4,Barcelona
Temporada_2021_22,Jornada_02,Elche,1-1,Almería
Temporada_2021_22,Jornada_02,Girona,3-1,Getafe
Temporada_2021_22,Jornada_03,Girona,0-1,Celta
Temporada_2021_22,Jornada_03,Betis,1-0,Osasuna
Temporada_2021_22,Jornada_03,Elche,0-1,R. Sociedad
Temporada_2021_22,Jornada_03,Rayo,0-2,Mallorca
Temporada_2021_22,Jornada_03,Almería,2-1,Sevilla
Temporada_2021_22,Jornada_03,Getafe,0-0,Villarreal
Temporada_2021_22,Jornada_03,Barcelona,4-0,Valladolid
Temporada_2021_22,Jornada_03,Espanyol,1-3,Real Madrid
Temporada_2021_22,Jornada_03,Cádiz,0-4,Athletic
Temporada_2021_22,Jornada_03,Valencia,0-1,Atlético
Temporada_2021_22,Jornada_04,Celta,3-0,Cádiz
Temporada_2021_22,Jornada_04,Mallorca,1-1,Girona
Temporada_2021_22,Jornada_04,Real Madrid,2-1,Betis
Temporada_2021_22,Jornada_04,R. Sociedad,1-1,Atlético
Temporada_2021_22,Jornada_04,Sevilla,0-3,Barcelona
Temporada_2021_22,Jornada_04,Osasuna,2-1,Rayo
Temporada_2021_22,Jornada_04,Athletic,0-1,Espanyol
Temporada_2021_22,Jornada_04,Villarreal,4-0,Elche
Temporada_2021_22,Jornada_04,Valencia,5-1,Getafe
Temporada_2021_22,Jornada_04,Valladolid,1-0,Almería
Temporada_2021_22,Jornada_05,Girona,2-1,Valladolid
Temporada_2021_22,Jornada_05,Rayo,2-1,Valencia
Temporada_2021_22,Jornada_05,Espanyol,2-3,Sevilla
Temporada_2021_22,Jornada_05,Cádiz,0-4,Barcelona
Temporada_2021_22,Jornada_05,Atlético,4-1,Celta
Temporada_2021_22,Jornada_05,Real Madrid,4-1,Mallorca
Temporada_2021_22,Jornada_05,Elche,1-4,Athletic
Temporada_2021_22,Jornada_05,Getafe,2-1,R. Sociedad
Temporada_2021_22,Jornada_05,Betis,1-0,Villarreal
Temporada_2021_22,Jornada_05,Almería,0-1,Osasuna
Temporada_2021_22,Jornada_06,Valladolid,16/09 21:00,Cádiz
Temporada_2021_22,Jornada_06,Mallorca,17/09 14:00,Almería
Temporada_2021_22,Jornada_06,Barcelona,17/09 16:15,Elche
Temporada_2021_22,Jornada_06,Valencia,17/09 18:30,Celta
Temporada_2021_22,Jornada_06,Athletic,17/09 21:00,Rayo
Temporada_2021_22,Jornada_06,Osasuna,18/09 14:00,Getafe
Temporada_2021_22,Jornada_06,Villarreal,18/09 16:15,Sevilla
Temporada_2021_22,Jornada_06,Betis,18/09 18:30,Girona
Temporada_2021_22,Jornada_06,R. Sociedad,18/09 18:30,Espanyol
Temporada_2021_22,Jornada_06,Atlético,18/09 21:00,Real Madrid
