Team_ID;Equipo
1;Alaves
2;Albacete
3;Alcorcon
4;Alcoyano
5;Alicante
6;Almeria
7;Ath Bilbao
8;Ath Bilbao B
9;Ath Madrid
10;Barcelona
11;Barcelona B
12;Betis
13;Cadiz
14;Cartagena
15;Castellon
16;Celta
17;Cordoba
18;Eibar
19;Elche
20;Espanol
21;Getafe
22;Gimnastic
23;Girona
24;Granada
25;Guadalajara
26;Hercules
27;Huesca
28;Jaen
29;La Coruna
30;Las Palmas
31;Leganes
32;Leonesa
33;Levante
34;Llagostera
35;Lorca
36;Lugo
37;Malaga
38;Mallorca
39;Mirandes
40;Murcia
41;Numancia
42;Osasuna
43;Oviedo
44;Ponferradina
45;Real Madrid
46;Real Madrid B
47;Real Union
48;Recreativo
49;Reus Deportiu
50;Sabadell
51;Salamanca
52;Santander
53;Sevilla
54;Sevilla B
55;Sociedad
56;Sp Gijon
57;Tenerife
58;UCAM Murcia
59;Valencia
60;Valladolid
61;Vallecano
62;Villarreal
63;Villarreal B
64;Xerez
65;Zaragoza
66;Extremadura UD
67;Rayo Majadahonda
68;Fuenlabrada
69;Logrones
70;Amorebieta
71;Sociedad B
72;Burgos
73;Ibiza

